id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25162119,Singular Loft Duplex con jardin BCN centro,190134728,David,Sants-Montjuïc,el Poble Sec,41.37367,2.16534,Entire home/apt,160,31,0,,,1,365,0,
25070757,Independent Private Room,92512064,Dal,Eixample,el Fort Pienc,41.39739,2.18044,Private room,40,3,8,2018-08-22,0.17,1,0,0,Exempt
25072883,Habitacion grande en el centro de barcelona,189545077,Nilda,Eixample,la Dreta de l'Eixample,41.39498,2.17422,Private room,52,4,13,2022-03-02,0.28,1,349,2,
25074504,"Habitación privada Parc Guell, 2 Huéspedes",12527853,David,Gràcia,Vallcarca i els Penitents,41.41397,2.14742,Private room,68,2,4,2019-06-23,0.09,5,176,0,Exempt
25088459,"Double room in Bcn, easy access Airport and city",189659995,Marlene,Sants-Montjuïc,la Marina de Port,41.35953,2.13867,Private room,48,2,8,2019-06-26,0.17,2,0,0,
25095031,"Single room in Bcn, easy access Airport and city",189659995,Marlene,Sants-Montjuïc,la Marina de Port,41.36121,2.13834,Private room,38,2,8,2019-07-03,0.18,2,0,0,
25095438,Nice apartment in downtown area,54320669,Juan,Sants-Montjuïc,el Poble Sec,41.37333,2.17076,Entire home/apt,106,2,72,2022-01-30,1.56,15,272,12,HUTB-009549
25096636,Habitacion con baňo prive en pleno centroBarcelona,141724411,Daniela M,Ciutat Vella,el Barri Gòtic,41.38227,2.17857,Private room,42,2,42,2021-12-30,0.91,1,5,21,
25118224,super sunny apartment + terrace barcelona central,133893358,Jordi,Eixample,Sant Antoni,41.37909,2.15498,Entire home/apt,86,7,130,2022-03-02,2.83,4,96,38,HUTB-004284
25118567,Modernist style apartment in the most central location,187414922,Irene,Eixample,la Dreta de l'Eixample,41.38833,2.16847,Entire home/apt,450,1,33,2022-01-12,0.75,1,145,14,HUTB-007862
25121122,ELEGANT APARTMENT IN RESIDENTIAL AREA,47171261,Lodging Team,Sarrià-Sant Gervasi,les Tres Torres,41.39703,2.12789,Entire home/apt,129,32,0,,,66,0,0,
25121742,1 double bedroom in the heart of Sant Antoni,9947075,Vini,Eixample,Sant Antoni,41.37783,2.16017,Private room,38,2,4,2021-10-09,0.09,1,0,3,Exempt
25122064,"sf12c GREAT 2 BEDR ""ACOMODIS"" FLAT SAGRADA FAMILIA",1447144,Acomodis Apartments,Eixample,la Sagrada Família,41.40374,2.17231,Entire home/apt,96,1,1,2019-04-18,0.03,122,330,0,
25122279,Double bed room for 2 people,24431378,Nacho,Gràcia,la Vila de Gràcia,41.40209,2.15116,Private room,95,1,199,2022-03-08,4.44,2,356,189,ATB-000005
25122909,BCN large size bedroom Sants with plenty of light,75937600,Núria,Sants-Montjuïc,Sants - Badal,41.37619,2.12504,Private room,50,2,2,2018-06-17,0.04,1,0,0,
25127489,APARTAMENTO BORN 4 PAX (MINIMO 31 NOCHES),113496597,Mediterranean,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38518,2.18079,Entire home/apt,66,31,7,2021-11-17,0.28,5,175,4,Exempt
25127619,Apartament junto Camp Nou,188686957,Hostal,Les Corts,la Maternitat i Sant Ramon,41.37628,2.12357,Entire home/apt,450,1,9,2019-10-15,0.22,2,0,0,HB-002907
25025836,Besos · Bright apartment close to congress center & port,3399123,Eberhard&Aurélie@Es-Flats,Sant Martí,el Besòs i el Maresme,41.42058,2.2121,Entire home/apt,95,3,47,2021-09-16,1.02,12,236,5,HUTB-036637
25040502,A. Habitacion centrica privada en piso compartido.,130091939,Toni,Sants-Montjuïc,el Poble Sec,41.3724,2.16985,Private room,19,32,77,2022-02-15,1.66,4,127,3,Exempt
25041079,D. Habitacion centrica privada en piso compartido.,130091939,Toni,Sants-Montjuïc,el Poble Sec,41.37466,2.16918,Private room,19,32,68,2022-02-17,1.54,4,128,3,Exempt
25041609,INDIVIDUAL ROOM JUST FOR GIRLS,151466047,Cristina,Horta-Guinardó,el Baix Guinardó,41.41262,2.17212,Private room,15,7,0,,,1,0,0,
25051793,Habitación cerca Tren metro Sants CampNou España,127359410,Mariana & Reggy,Les Corts,les Corts,41.38661,2.13582,Private room,40,2,48,2020-02-28,1.02,1,0,0,Exempt
25061570,"Near the Beach,  Convention Centre & Free Parking!",13028184,Arai,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40877,2.2118,Entire home/apt,150,2,55,2022-02-19,1.21,1,284,3,HUTB-012909
25066990,Habitación priv.  Parc Güell 2 huéspedes ideal.,12527853,David,Gràcia,Vallcarca i els Penitents,41.41434,2.14958,Private room,70,2,7,2019-06-29,0.16,5,365,0,Exempt
25068473,Estudio acogedor en el barrio de Grácia,172334129,Hostal Express,Gràcia,la Vila de Gràcia,41.39926,2.15508,Hotel room,40,32,3,2019-11-16,0.09,5,237,0,
25069095,Nice Central Room with Private Bathroom,49469592,Cecilia,Eixample,la Dreta de l'Eixample,41.38573,2.16782,Private room,49,2,141,2022-03-02,3.32,3,72,18,Exempt
25173870,Newly renovated apartment next to Ramblas,172462374,Apartaments Unió,Ciutat Vella,el Raval,41.37959,2.16836,Entire home/apt,70,31,10,2022-01-15,0.23,15,109,7,
