id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5008404,"Confortable , moderno y espacioso",5798767,Maria,,Nrrebro,55.69921,12.53733,Entire home/apt,749,5,4,2015-08-12,0.05,2,24,0,
5020433,2 room apartment with personal style,13929955,Stephan,,Amager Vest,55.66383,12.58409,Entire home/apt,602,2,27,2022-03-13,0.33,1,0,4,
5033607,Penthouse in the heart of Nørrebro,25965406,Jesper,,Nrrebro,55.69497,12.55283,Entire home/apt,800,7,7,2022-02-22,0.08,1,0,3,
5034150,'Hygge' apartment w. 2 balconies,14015063,Amalie,,Bispebjerg,55.70296,12.53359,Entire home/apt,650,2,76,2022-01-02,0.89,1,47,7,
5047611,Wonderful Villa,25954358,Liselotte,,Amager st,55.6606,12.62583,Entire home/apt,1000,2,12,2021-08-08,0.16,1,86,1,
5049214,132m2 flat in central Copenhagen,26067412,Anne & Jakob,,Vesterbro-Kongens Enghave,55.67225,12.55277,Entire home/apt,1300,2,14,2019-08-07,0.17,1,0,0,
5052588,TWO STOREY LUXURY APT.,6367070,Ida,,Vesterbro-Kongens Enghave,55.66822,12.54786,Entire home/apt,950,4,45,2021-10-20,0.52,1,0,2,
5058438,Hus i  Københavns sydhavn.,25072946,Nina,,Vesterbro-Kongens Enghave,55.6446,12.53643,Entire home/apt,890,4,4,2017-07-27,0.06,1,32,0,
5066147,Stor skøn lejlighed Indre Østerbro,5626950,Karl Troels,,sterbro,55.70006,12.5854,Entire home/apt,1300,3,49,2020-08-07,0.63,1,58,0,
5068454,"Cozy, warm and central located apartment",26172799,Kristina,,Indre By,55.6692,12.59042,Entire home/apt,716,2,52,2022-03-27,0.60,1,12,20,
5075689,Safe Area - 10min from town by train or bus/街から10分,3294726,Mads&Ayumi,,sterbro,55.71343,12.55898,Private room,507,1,69,2019-08-16,0.83,1,0,0,
5087087,Villa apartment close to downtown.,25929294,Anne-Britt,,Amager st,55.65912,12.62094,Entire home/apt,775,4,92,2021-09-14,1.08,1,18,17,
5088353,3 room apartment close to subway,25925341,Anders,,Amager Vest,55.66408,12.59671,Entire home/apt,929,4,13,2022-03-16,0.15,1,6,4,
5089082,Apartment in Nørrebro,25676614,Freja,,Nrrebro,55.69951,12.55243,Entire home/apt,550,6,34,2020-02-27,0.40,1,0,0,
5093880,A flat with an exellent view,4685531,Jimmy & Iben,,Indre By,55.68823,12.56439,Entire home/apt,1600,5,0,,,1,266,0,
5096710,City Centre-living in Copenhagen,6233530,Sebastian,,Indre By,55.67305,12.58724,Entire home/apt,1084,4,29,2021-12-05,0.36,1,54,2,
5097276,Charming 2 bedroom next to Lakes,22856243,Rikke,,Frederiksberg,55.67723,12.55286,Entire home/apt,950,4,12,2021-07-23,0.26,1,91,2,
5123695,Fancy City Apartment In Christianshavn.,26481559,Ellie,,Indre By,55.67393,12.59587,Entire home/apt,2765,2,39,2019-09-02,0.46,2,362,0,
5124085,Spacious and cozy House in Copenhagen,26482414,Elise,,Vanlse,55.69261,12.51112,Entire home/apt,900,2,14,2022-03-27,0.23,1,0,5,
5134230,Skøn familievenlig lejlighed med hyggelig gårdhave,26516468,Maria Svansø,,Bispebjerg,55.70685,12.52765,Entire home/apt,950,1,2,2022-03-20,1.40,1,30,2,
5141506,Beautiful and quite room,3854601,Lisbeth,,Frederiksberg,55.67766,12.50093,Private room,400,4,3,2019-09-16,0.04,1,89,0,
5148250,Charming apartment at Nørrebro,26139949,Camilla,,Nrrebro,55.68921,12.55434,Entire home/apt,1129,4,5,2020-07-17,0.06,2,319,0,
5150952,Apartment with sunny balcony and perfect location,13103150,Christina Buus,,sterbro,55.71011,12.58458,Entire home/apt,600,3,25,2021-07-04,0.44,1,0,2,
5151139,Private room at Østerbro flat in Copenhagen,26632485,Anne,,sterbro,55.70727,12.58565,Private room,3000,1,0,,,1,0,0,
5165899,Charmerende Østerbro lejlighed,26720279,Frederik,,sterbro,55.70861,12.58237,Entire home/apt,700,3,28,2022-03-21,0.62,1,27,3,
5177875,Classic 4 Room Apartment,7438428,Søren,,Frederiksberg,55.67313,12.53961,Private room,315,66,1,2016-09-02,0.01,1,146,0,
5192386,Family Friendly Spacious Villa apt,3339631,Marc,,Nrrebro,55.6948,12.54239,Entire home/apt,1200,5,28,2021-10-23,0.33,1,2,2,
5200585,145 m2 apartment with elevator 200 m from Metro,26862107,Christl,,Frederiksberg,55.68193,12.55189,Entire home/apt,1500,14,1,2021-06-23,0.11,1,278,1,
5212161,Cozy Townhouse / central Copenhagen,7130090,Ole,,Indre By,55.69198,12.57493,Entire home/apt,1400,2,14,2021-11-28,0.17,1,90,7,
5214777,Christianshavn room with balcony,25705162,Jesper,,Indre By,55.67055,12.58627,Private room,470,2,481,2022-03-11,5.54,1,37,18,
5232748,Perfect location in the center,27081977,Jacob,,Indre By,55.68525,12.56897,Entire home/apt,2000,4,34,2021-11-28,0.40,2,234,2,
5235015,Cosy apartment in trendy Nørrebro,27092635,Freja,,Nrrebro,55.6851,12.55463,Entire home/apt,700,3,26,2022-01-05,0.30,1,0,3,
